"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
-1.99287e-01,-8.44955e-02,-1.79487e-19,5.03345e-02,8.80000e+00,1.00000e+00,0.00000e+00
1.12868e-02,-8.48550e-03,-1.29544e-18,1.45159e-02,8.80000e+00,0.00000e+00,0.00000e+00
-8.67192e-04,2.07740e-02,0.00000e+00,1.46231e-02,9.30000e+00,0.00000e+00,0.00000e+00
4.99265e-02,7.85990e-02,-2.34371e-20,2.96502e-03,9.30000e+00,5.00000e-01,0.00000e+00
6.15131e-03,6.07654e-03,-1.09315e-19,-6.18957e-04,9.80000e+00,5.00000e-01,0.00000e+00
2.60321e-02,4.30645e-02,1.20891e-20,-3.22249e-04,9.80000e+00,8.50000e-01,0.00000e+00
-4.42813e-01,1.24290e-01,3.18404e-19,-1.26803e-01,9.80000e+00,1.00000e+00,0.00000e+00
-3.59054e-01,2.31114e-01,3.06315e-19,-1.60810e-02,9.90000e+00,1.00000e+00,0.00000e+00
1.29642e-02,-1.13751e-02,0.00000e+00,1.88650e-01,9.90000e+00,0.00000e+00,0.00000e+00
-4.66428e-03,1.68059e-02,4.23343e-17,1.88769e-01,1.04000e+01,0.00000e+00,0.00000e+00
1.51226e-01,-2.73418e-02,0.00000e+00,1.53357e-01,1.04000e+01,5.00000e-01,0.00000e+00
1.52528e-01,6.44516e-02,-7.12432e-19,1.41612e-01,1.09000e+01,5.00000e-01,0.00000e+00
-4.37128e-01,1.22276e-01,0.00000e+00,1.38002e-01,1.09000e+01,8.50000e-01,0.00000e+00
-9.27982e-01,9.59670e-02,-1.50596e-19,1.11141e-02,1.09000e+01,1.00000e+00,0.00000e+00
-3.95001e-01,1.96372e-01,-1.50596e-19,4.12955e-02,1.10000e+01,1.00000e+00,0.00000e+00
2.49254e-02,-4.44018e-02,3.40792e-18,2.10708e-01,1.10000e+01,0.00000e+00,0.00000e+00
5.18954e-02,4.70068e-02,4.42705e-18,2.07506e-01,1.15000e+01,0.00000e+00,0.00000e+00
1.01518e-01,1.18011e-01,1.43056e-18,1.76752e-01,1.15000e+01,5.00000e-01,0.00000e+00
9.85487e-02,6.14385e-02,7.00457e-19,1.71350e-01,1.20000e+01,5.00000e-01,0.00000e+00
-4.21710e-01,8.44438e-02,0.00000e+00,1.57302e-01,1.20000e+01,8.50000e-01,0.00000e+00
-4.53263e-01,-3.36555e-02,0.00000e+00,1.28067e-01,1.20000e+01,1.00000e+00,0.00000e+00
4.25841e-02,-1.67660e-01,-1.99350e-19,3.87941e-02,1.21000e+01,1.00000e+00,0.00000e+00
1.41208e-02,-2.45018e-02,1.55179e-21,5.26620e-02,1.21000e+01,0.00000e+00,0.00000e+00
2.64680e-02,3.29915e-02,1.97452e-20,5.21785e-02,1.26000e+01,0.00000e+00,0.00000e+00
6.05233e-03,4.24678e-02,-1.47234e-18,3.56495e-02,1.26000e+01,5.00000e-01,0.00000e+00
-8.37558e-03,3.44676e-03,0.00000e+00,3.39273e-02,1.31000e+01,5.00000e-01,0.00000e+00
9.95945e-02,2.64252e-02,0.00000e+00,1.61536e-02,1.31000e+01,8.50000e-01,0.00000e+00
8.66558e-02,-3.52143e-02,2.01445e-19,9.52491e-03,1.31000e+01,1.00000e+00,0.00000e+00
-3.01412e-02,-8.64450e-02,2.01445e-19,2.98302e-03,1.32000e+01,1.00000e+00,0.00000e+00
8.34243e-03,-7.99903e-03,4.68801e-20,-5.52701e-03,1.32000e+01,0.00000e+00,0.00000e+00
1.02525e-02,1.49361e-02,3.46382e-21,-5.33570e-03,1.37000e+01,0.00000e+00,0.00000e+00
1.26558e-02,6.17227e-02,0.00000e+00,-1.02331e-02,1.37000e+01,5.00000e-01,0.00000e+00
1.69752e-03,-3.18820e-04,0.00000e+00,-1.07378e-02,1.42000e+01,5.00000e-01,0.00000e+00
-1.28823e-01,2.45773e-02,3.51746e-20,-5.72725e-03,1.42000e+01,8.50000e-01,0.00000e+00
-5.76410e-02,2.93040e-02,5.11811e-20,-2.37128e-02,1.42000e+01,1.00000e+00,0.00000e+00
2.11239e-02,-7.96391e-02,-2.43569e-19,-4.04079e-02,1.43000e+01,1.00000e+00,0.00000e+00
1.37484e-02,-1.91164e-02,-1.40577e-18,-3.64920e-02,1.43000e+01,0.00000e+00,0.00000e+00
2.14567e-02,2.79130e-02,9.09820e-19,-3.65829e-02,1.48000e+01,0.00000e+00,0.00000e+00
5.74562e-02,9.33731e-02,1.47794e-18,-4.97968e-02,1.48000e+01,5.00000e-01,0.00000e+00
1.51436e-02,2.48190e-03,-5.72062e-18,-5.29339e-02,1.53000e+01,5.00000e-01,0.00000e+00
-6.14857e-02,1.00698e-01,-3.21333e-19,-2.68923e-02,1.53000e+01,8.50000e-01,0.00000e+00
-8.61632e-01,2.55876e-01,-4.38282e-19,-4.79787e-01,1.53000e+01,1.00000e+00,0.00000e+00
-6.59309e-01,3.95079e-01,3.26237e-18,-1.91736e-01,1.54000e+01,1.00000e+00,0.00000e+00
2.78207e-02,-4.66524e-02,-6.85685e-18,3.86675e-01,1.54000e+01,0.00000e+00,0.00000e+00
4.63251e-02,6.17495e-02,0.00000e+00,3.87789e-01,1.59000e+01,0.00000e+00,0.00000e+00
3.96638e-01,1.61109e-01,-1.54060e-19,1.80537e-01,1.59000e+01,5.00000e-01,0.00000e+00
2.49018e-01,1.42680e-01,0.00000e+00,1.95256e-01,1.64000e+01,5.00000e-01,0.00000e+00
-8.67282e-01,2.28370e-01,0.00000e+00,2.18960e-01,1.64000e+01,8.50000e-01,0.00000e+00
-1.31059e+00,4.41499e-02,0.00000e+00,1.18532e-01,1.64000e+01,1.00000e+00,0.00000e+00
-2.15299e-01,1.47658e-01,0.00000e+00,-9.16537e-02,1.65000e+01,1.00000e+00,0.00000e+00
1.55301e-02,-1.22741e-02,-3.57406e-18,1.80468e-02,1.65000e+01,0.00000e+00,0.00000e+00
1.00248e-02,1.89344e-02,-1.97015e-18,1.80122e-02,1.70000e+01,0.00000e+00,0.00000e+00
4.38231e-02,4.38006e-02,0.00000e+00,1.35192e-02,1.70000e+01,5.00000e-01,0.00000e+00
2.49718e-02,2.91745e-02,0.00000e+00,1.57772e-02,1.75000e+01,5.00000e-01,0.00000e+00
-1.64011e-01,4.08279e-02,9.70864e-21,6.26883e-03,1.75000e+01,8.50000e-01,0.00000e+00
-5.81048e-01,8.41020e-02,9.70864e-21,-9.13058e-02,1.75000e+01,1.00000e+00,0.00000e+00
-4.33484e-01,1.08327e-01,0.00000e+00,-4.30852e-02,1.76000e+01,1.00000e+00,0.00000e+00
1.91111e-02,-1.46649e-02,0.00000e+00,3.66980e-02,1.76000e+01,0.00000e+00,0.00000e+00
4.01135e-04,3.27819e-02,-6.86136e-21,3.68528e-02,1.81000e+01,0.00000e+00,0.00000e+00
8.57827e-02,1.23754e-01,0.00000e+00,5.76643e-03,1.81000e+01,5.00000e-01,0.00000e+00
4.06959e-02,4.83240e-02,3.95570e-19,4.20534e-03,1.86000e+01,5.00000e-01,0.00000e+00
-4.15614e-01,7.67076e-02,1.98859e-20,-2.06564e-02,1.86000e+01,8.50000e-01,0.00000e+00
-9.49480e-01,1.38667e-01,0.00000e+00,-2.02542e-01,1.86000e+01,1.00000e+00,0.00000e+00
-1.39383e-02,6.35568e-01,0.00000e+00,-1.40959e-01,1.87000e+01,1.00000e+00,0.00000e+00
1.96698e-02,-5.09826e-02,-3.32134e-20,1.00191e-01,1.87000e+01,0.00000e+00,0.00000e+00
5.35840e-02,4.49052e-02,0.00000e+00,9.47175e-02,1.92000e+01,0.00000e+00,0.00000e+00
1.62328e-01,1.01343e-01,0.00000e+00,5.67121e-02,1.92000e+01,5.00000e-01,0.00000e+00
1.22515e-01,6.86560e-02,-1.99075e-19,4.78730e-02,1.97000e+01,5.00000e-01,0.00000e+00
-4.29403e-01,9.33990e-02,0.00000e+00,6.13741e-02,1.97000e+01,8.50000e-01,0.00000e+00
-4.73873e-01,-1.16564e-02,3.05426e-19,6.95976e-02,1.97000e+01,1.00000e+00,0.00000e+00
4.77480e-02,-3.15199e-02,3.05426e-19,2.06282e-02,1.98000e+01,1.00000e+00,0.00000e+00
6.93920e-03,-8.47975e-03,1.87638e-18,1.99821e-02,1.98000e+01,0.00000e+00,0.00000e+00
6.17109e-03,3.47629e-03,1.23046e-18,1.99880e-02,2.03000e+01,0.00000e+00,0.00000e+00
-9.90989e-03,-4.28344e-03,-5.77593e-19,1.96900e-02,2.03000e+01,5.00000e-01,0.00000e+00
-2.54661e-03,-9.14133e-03,0.00000e+00,1.95417e-02,2.08000e+01,5.00000e-01,0.00000e+00
1.45441e-01,1.64354e-02,1.91338e-20,1.10632e-02,2.08000e+01,8.50000e-01,0.00000e+00
2.50369e-01,-1.24249e-02,1.91338e-20,7.68292e-03,2.08000e+01,1.00000e+00,0.00000e+00
1.09329e-01,5.55216e-03,0.00000e+00,1.23257e-02,2.09000e+01,1.00000e+00,0.00000e+00
-2.44497e-03,-7.02487e-03,-3.53143e-18,1.14985e-02,2.09000e+01,0.00000e+00,0.00000e+00
6.81275e-03,3.25889e-03,-1.98619e-18,1.13445e-02,2.14000e+01,0.00000e+00,0.00000e+00
-4.20270e-02,-3.90323e-03,4.08358e-19,1.13681e-02,2.14000e+01,5.00000e-01,0.00000e+00
-2.76824e-02,-1.40794e-02,0.00000e+00,1.67273e-02,2.19000e+01,5.00000e-01,0.00000e+00
1.44058e-01,1.69002e-02,0.00000e+00,9.21952e-03,2.19000e+01,8.50000e-01,0.00000e+00
2.73864e-01,6.90769e-03,0.00000e+00,2.19048e-03,2.19000e+01,1.00000e+00,0.00000e+00
1.50555e-01,1.43792e-02,3.43026e-20,2.00452e-03,2.20000e+01,1.00000e+00,0.00000e+00
-2.86127e-03,2.94898e-03,0.00000e+00,-6.07574e-05,2.20000e+01,0.00000e+00,0.00000e+00
-9.35056e-03,-4.53113e-04,1.37240e-20,-2.88793e-05,2.25000e+01,0.00000e+00,0.00000e+00
-1.10715e-01,8.94822e-03,0.00000e+00,-1.97429e-03,2.25000e+01,2.00000e+00,0.00000e+00
-4.22128e-02,-7.66980e-02,-7.79282e-20,-6.16400e-04,2.19000e+01,2.00000e+00,0.00000e+00
-3.76437e-03,-6.41873e-02,3.35222e-19,3.11067e-03,2.14000e+01,2.00000e+00,0.00000e+00
-5.88042e-03,-5.59925e-02,-9.01500e-19,2.70785e-03,2.08000e+01,2.00000e+00,0.00000e+00
1.35255e-02,3.66527e-02,-3.01599e-19,1.82243e-03,2.03000e+01,2.00000e+00,0.00000e+00
1.50341e-01,-2.36881e-01,-2.50090e-19,-1.04058e-02,1.97000e+01,2.00000e+00,0.00000e+00
2.10414e-02,-8.15116e-02,-2.92398e-19,-5.18907e-03,1.92000e+01,2.00000e+00,0.00000e+00
2.31376e-01,-2.22354e-02,0.00000e+00,-1.78737e-02,1.86000e+01,2.00000e+00,0.00000e+00
1.84796e-01,2.97792e-02,0.00000e+00,1.00147e-02,1.81000e+01,2.00000e+00,0.00000e+00
