"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
0.00000e+00,5.00000e-01,0.00000e+00,2.11045e+00,0.00000e+00,0.00000e+00,0.00000e+00
-6.32775e-05,1.00020e+00,0.00000e+00,2.10925e+00,5.00000e-01,0.00000e+00,0.00000e+00
9.37050e-03,4.00681e-01,0.00000e+00,2.08943e+00,5.00000e-01,5.00000e-01,0.00000e+00
1.49773e-01,-2.79029e-02,-6.51284e-18,1.98874e+00,1.00000e+00,5.00000e-01,0.00000e+00
-4.04215e-01,2.38377e-02,-1.14516e-17,1.94086e+00,1.00000e+00,8.50000e-01,0.00000e+00
-4.08959e-01,-1.05562e-01,0.00000e+00,1.82411e+00,1.00000e+00,1.00000e+00,0.00000e+00
8.73397e-02,4.37399e-01,0.00000e+00,1.79468e+00,1.10000e+00,1.00000e+00,0.00000e+00
-1.20087e-04,1.00036e+00,2.12121e-21,1.94186e+00,1.10000e+00,0.00000e+00,0.00000e+00
2.37984e-04,9.99404e-01,0.00000e+00,1.94435e+00,1.60000e+00,0.00000e+00,0.00000e+00
1.02858e-01,4.80011e-01,0.00000e+00,1.96881e+00,1.60000e+00,5.00000e-01,0.00000e+00
3.65385e-01,5.39587e-02,-2.55488e-18,1.62746e+00,2.10000e+00,5.00000e-01,0.00000e+00
-8.47432e-01,1.28687e-01,0.00000e+00,1.51527e+00,2.10000e+00,8.50000e-01,0.00000e+00
-9.20661e-01,-1.43247e-01,0.00000e+00,1.22189e+00,2.10000e+00,1.00000e+00,0.00000e+00
7.77125e-02,3.63163e-01,-1.05778e-18,8.97960e-01,2.20000e+00,1.00000e+00,0.00000e+00
-8.13877e-06,1.00024e+00,9.30289e-19,9.41843e-01,2.20000e+00,0.00000e+00,0.00000e+00
-7.62580e-05,9.99598e-01,0.00000e+00,9.43639e-01,2.70000e+00,0.00000e+00,0.00000e+00
2.02702e-02,3.92153e-01,-3.44236e-18,9.34362e-01,2.70000e+00,5.00000e-01,0.00000e+00
1.56883e-01,4.16300e-02,0.00000e+00,8.53107e-01,3.20000e+00,5.00000e-01,0.00000e+00
-4.20480e-01,1.01185e-01,3.64210e-18,8.08150e-01,3.20000e+00,8.50000e-01,0.00000e+00
-3.97869e-01,-3.62561e-02,0.00000e+00,7.12136e-01,3.20000e+00,1.00000e+00,0.00000e+00
1.09441e-01,4.33160e-01,0.00000e+00,5.78342e-01,3.30000e+00,1.00000e+00,0.00000e+00
-3.73087e-06,1.00003e+00,0.00000e+00,4.93510e-01,3.30000e+00,0.00000e+00,0.00000e+00
2.69002e-05,9.99953e-01,5.22086e-19,4.93685e-01,3.80000e+00,0.00000e+00,0.00000e+00
-5.52289e-02,5.29619e-01,-1.42403e-17,4.58327e-01,3.80000e+00,5.00000e-01,0.00000e+00
-2.51606e-02,-9.83763e-02,-4.79939e-18,4.22209e-01,4.30000e+00,5.00000e-01,0.00000e+00
3.89663e-01,-2.72048e-01,2.45614e-18,2.36789e-01,4.30000e+00,8.50000e-01,0.00000e+00
3.56753e-01,-4.13181e-01,-4.29859e-18,1.10000e-01,4.30000e+00,1.00000e+00,0.00000e+00
2.16279e-02,3.49999e-01,-3.85251e-18,3.13214e-01,4.40000e+00,1.00000e+00,0.00000e+00
-7.71241e-05,9.99831e-01,0.00000e+00,3.82926e-01,4.40000e+00,0.00000e+00,0.00000e+00
7.32358e-05,1.00004e+00,-6.10654e-19,3.81973e-01,4.90000e+00,0.00000e+00,0.00000e+00
-1.01721e-01,5.08897e-01,0.00000e+00,3.06817e-01,4.90000e+00,5.00000e-01,0.00000e+00
-7.46772e-02,-1.20056e-01,-8.50516e-19,2.93302e-01,5.40000e+00,5.00000e-01,0.00000e+00
4.57836e-01,-3.87072e-01,0.00000e+00,1.72724e-01,5.40000e+00,8.50000e-01,0.00000e+00
4.45306e-01,-5.00121e-01,0.00000e+00,3.26252e-01,5.40000e+00,1.00000e+00,0.00000e+00
4.86585e-02,4.34645e-01,0.00000e+00,8.62842e-01,5.50000e+00,1.00000e+00,0.00000e+00
2.20779e-04,1.00052e+00,0.00000e+00,1.21548e+00,5.50000e+00,0.00000e+00,0.00000e+00
-6.81137e-05,9.99355e-01,0.00000e+00,1.21812e+00,6.00000e+00,0.00000e+00,0.00000e+00
1.80074e-01,4.93492e-01,0.00000e+00,1.24612e+00,6.00000e+00,5.00000e-01,0.00000e+00
3.60492e-01,7.73564e-02,4.19134e-18,9.59800e-01,6.50000e+00,5.00000e-01,0.00000e+00
-8.51047e-01,1.86224e-01,0.00000e+00,8.41299e-01,6.50000e+00,8.50000e-01,0.00000e+00
-8.20540e-01,1.65632e-02,0.00000e+00,6.09254e-01,6.50000e+00,1.00000e+00,0.00000e+00
1.85551e-01,5.08470e-01,0.00000e+00,3.10274e-01,6.60000e+00,1.00000e+00,0.00000e+00
-4.78999e-05,1.00008e+00,0.00000e+00,3.00259e-01,6.60000e+00,0.00000e+00,0.00000e+00
5.11404e-05,9.99814e-01,-3.17667e-19,3.01020e-01,7.10000e+00,0.00000e+00,0.00000e+00
-1.20158e-01,5.16131e-01,7.32024e-19,2.13754e-01,7.10000e+00,5.00000e-01,0.00000e+00
-9.52826e-02,-1.58628e-01,1.23507e-18,2.16692e-01,7.60000e+00,5.00000e-01,0.00000e+00
3.53856e-01,-4.64229e-01,0.00000e+00,1.27651e-01,7.60000e+00,8.50000e-01,0.00000e+00
3.63129e-01,-4.75854e-01,-1.34685e-20,2.06819e-01,7.60000e+00,1.00000e+00,0.00000e+00
6.58317e-02,4.05485e-01,1.29367e-18,5.30936e-01,7.70000e+00,1.00000e+00,0.00000e+00
-2.09792e-04,1.00035e+00,-2.44252e-18,7.41798e-01,7.70000e+00,0.00000e+00,0.00000e+00
2.71773e-04,9.99246e-01,0.00000e+00,7.45231e-01,8.20000e+00,0.00000e+00,0.00000e+00
2.50136e-02,3.76229e-01,-1.31803e-18,7.32978e-01,8.20000e+00,5.00000e-01,0.00000e+00
1.71772e-01,4.37572e-02,-3.67809e-18,6.70418e-01,8.70000e+00,5.00000e-01,0.00000e+00
-4.34114e-01,1.21253e-01,0.00000e+00,6.50239e-01,8.70000e+00,8.50000e-01,0.00000e+00
-4.04544e-01,-4.70176e-02,-1.42572e-18,5.63176e-01,8.70000e+00,1.00000e+00,0.00000e+00
1.01898e-01,4.28605e-01,-1.42572e-18,4.30704e-01,8.80000e+00,1.00000e+00,0.00000e+00
8.30467e-05,9.99679e-01,-5.78817e-19,3.50982e-01,8.80000e+00,0.00000e+00,0.00000e+00
3.65710e-05,1.00018e+00,0.00000e+00,3.48824e-01,9.30000e+00,0.00000e+00,0.00000e+00
-9.16653e-02,5.16540e-01,1.58759e-18,2.62023e-01,9.30000e+00,5.00000e-01,0.00000e+00
-8.10979e-02,-1.41253e-01,-5.92603e-19,2.50707e-01,9.80000e+00,5.00000e-01,0.00000e+00
4.13200e-01,-4.30990e-01,-1.19434e-19,1.51275e-01,9.80000e+00,8.50000e-01,0.00000e+00
4.15835e-01,-4.90709e-01,-3.22395e-18,2.60364e-01,9.80000e+00,1.00000e+00,0.00000e+00
6.68721e-02,3.98431e-01,-3.10451e-18,6.36417e-01,9.90000e+00,1.00000e+00,0.00000e+00
-2.05727e-04,1.00034e+00,0.00000e+00,8.40748e-01,9.90000e+00,0.00000e+00,0.00000e+00
2.71044e-04,9.99262e-01,8.87422e-19,8.44131e-01,1.04000e+01,0.00000e+00,0.00000e+00
2.32987e-02,3.80654e-01,0.00000e+00,8.32831e-01,1.04000e+01,5.00000e-01,0.00000e+00
1.71672e-01,4.37019e-02,-4.22194e-18,7.70874e-01,1.09000e+01,5.00000e-01,0.00000e+00
-4.34185e-01,1.20875e-01,0.00000e+00,7.43966e-01,1.09000e+01,8.50000e-01,0.00000e+00
-3.81130e-01,-2.64786e-02,2.70593e-18,6.28241e-01,1.09000e+01,1.00000e+00,0.00000e+00
1.15404e-01,5.16074e-01,2.70593e-18,5.84826e-01,1.10000e+01,1.00000e+00,0.00000e+00
4.78062e-05,1.00034e+00,-1.55145e-18,7.34841e-01,1.10000e+01,0.00000e+00,0.00000e+00
-1.15091e-04,9.99364e-01,1.23227e-18,7.38097e-01,1.15000e+01,0.00000e+00,0.00000e+00
-2.16756e-02,4.52832e-01,3.17034e-18,7.37360e-01,1.15000e+01,5.00000e-01,0.00000e+00
1.92427e-01,1.12506e-02,1.96192e-18,6.19964e-01,1.20000e+01,5.00000e-01,0.00000e+00
-4.16822e-01,3.93897e-02,0.00000e+00,6.02663e-01,1.20000e+01,8.50000e-01,0.00000e+00
-4.32381e-01,-1.10215e-01,0.00000e+00,5.55211e-01,1.20000e+01,1.00000e+00,0.00000e+00
7.05584e-02,3.92026e-01,-4.93479e-19,4.63212e-01,1.21000e+01,1.00000e+00,0.00000e+00
3.22495e-06,1.00101e+00,-4.34951e-19,4.39646e-01,1.21000e+01,0.00000e+00,0.00000e+00
-2.22721e-04,9.98609e-01,1.46258e-18,4.45816e-01,1.26000e+01,0.00000e+00,0.00000e+00
-1.45335e-01,4.92138e-01,-1.04828e-18,3.83943e-01,1.26000e+01,5.00000e-01,0.00000e+00
-1.14940e-01,-4.56878e-02,0.00000e+00,3.37349e-01,1.31000e+01,5.00000e-01,0.00000e+00
3.22368e-01,-2.46352e-01,0.00000e+00,2.01883e-01,1.31000e+01,8.50000e-01,0.00000e+00
3.32891e-01,-3.94937e-01,-5.46308e-21,1.90736e-02,1.31000e+01,1.00000e+00,0.00000e+00
3.17121e-02,4.19812e-01,-5.46308e-21,1.80517e-01,1.32000e+01,1.00000e+00,0.00000e+00
1.92856e-04,1.00076e+00,-1.21355e-18,3.93851e-01,1.32000e+01,0.00000e+00,0.00000e+00
-1.66299e-04,9.98917e-01,6.50611e-19,3.99146e-01,1.37000e+01,0.00000e+00,0.00000e+00
-1.67623e-01,5.01768e-01,0.00000e+00,3.28698e-01,1.37000e+01,5.00000e-01,0.00000e+00
-1.03396e-01,-1.18450e-01,0.00000e+00,3.25547e-01,1.42000e+01,5.00000e-01,0.00000e+00
4.03088e-01,-2.93334e-01,-2.38181e-19,1.94940e-01,1.42000e+01,8.50000e-01,0.00000e+00
3.71773e-01,-3.76029e-01,-3.43536e-19,8.24629e-02,1.42000e+01,1.00000e+00,0.00000e+00
3.11769e-02,3.76088e-01,2.49604e-19,2.54333e-01,1.43000e+01,1.00000e+00,0.00000e+00
4.89718e-05,1.00081e+00,6.53136e-19,3.57827e-01,1.43000e+01,0.00000e+00,0.00000e+00
-1.60072e-04,9.98941e-01,-1.38545e-18,3.62230e-01,1.48000e+01,0.00000e+00,0.00000e+00
-1.31030e-01,4.85728e-01,-7.89865e-19,2.96880e-01,1.48000e+01,5.00000e-01,0.00000e+00
-9.17331e-02,-9.62140e-02,3.52514e-18,2.74776e-01,1.53000e+01,5.00000e-01,0.00000e+00
3.97710e-01,-4.08741e-01,5.67014e-19,1.63614e-01,1.53000e+01,8.50000e-01,0.00000e+00
3.95795e-01,-5.03181e-01,5.87795e-19,2.94428e-01,1.53000e+01,1.00000e+00,0.00000e+00
4.18706e-02,4.15154e-01,1.17250e-18,8.23257e-01,1.54000e+01,1.00000e+00,0.00000e+00
9.35834e-05,9.99702e-01,1.12904e-18,1.14684e+00,1.54000e+01,0.00000e+00,0.00000e+00
2.24025e-04,1.00032e+00,0.00000e+00,1.14347e+00,1.59000e+01,0.00000e+00,0.00000e+00
3.96203e-01,8.85844e-01,-5.12924e-16,1.11380e+00,1.59000e+01,5.00000e-01,0.00000e+00
2.47920e-01,1.09521e-01,0.00000e+00,1.14296e+00,1.64000e+01,5.00000e-01,0.00000e+00
-8.62107e-01,2.27846e-01,0.00000e+00,9.58387e-01,1.64000e+01,8.50000e-01,0.00000e+00
-8.93323e-01,-6.78078e-02,0.00000e+00,6.08134e-01,1.64000e+01,1.00000e+00,0.00000e+00
1.09307e-01,4.41307e-01,0.00000e+00,2.25437e-01,1.65000e+01,1.00000e+00,0.00000e+00
-1.63729e-04,1.00030e+00,-4.59002e-19,2.82656e-01,1.65000e+01,0.00000e+00,0.00000e+00
2.30307e-04,9.99367e-01,-8.90430e-19,2.85420e-01,1.70000e+01,0.00000e+00,0.00000e+00
-1.34885e-01,5.11512e-01,0.00000e+00,2.03238e-01,1.70000e+01,5.00000e-01,0.00000e+00
-9.46470e-02,-1.56843e-01,0.00000e+00,2.07029e-01,1.75000e+01,5.00000e-01,0.00000e+00
3.74011e-01,-4.43983e-01,8.42780e-20,1.25224e-01,1.75000e+01,8.50000e-01,0.00000e+00
3.86270e-01,-4.37590e-01,8.42780e-20,1.68327e-01,1.75000e+01,1.00000e+00,0.00000e+00
6.78177e-02,4.50183e-01,0.00000e+00,4.71862e-01,1.76000e+01,1.00000e+00,0.00000e+00
-2.17656e-04,1.00063e+00,0.00000e+00,6.90870e-01,1.76000e+01,0.00000e+00,0.00000e+00
2.81206e-04,9.99023e-01,1.46228e-18,6.95570e-01,1.81000e+01,0.00000e+00,0.00000e+00
-2.05440e-02,4.46499e-01,0.00000e+00,7.05565e-01,1.81000e+01,5.00000e-01,0.00000e+00
1.96878e-01,1.20590e-02,-3.81410e-18,5.89982e-01,1.86000e+01,5.00000e-01,0.00000e+00
-4.16308e-01,4.47524e-02,-1.99929e-19,5.75277e-01,1.86000e+01,8.50000e-01,0.00000e+00
-3.85602e-01,-1.25374e-02,0.00000e+00,5.19533e-01,1.86000e+01,1.00000e+00,0.00000e+00
1.12031e-01,5.24472e-01,0.00000e+00,5.19187e-01,1.87000e+01,1.00000e+00,0.00000e+00
3.17423e-05,1.00033e+00,-1.33681e-18,6.35675e-01,1.87000e+01,0.00000e+00,0.00000e+00
-1.11442e-04,9.99372e-01,0.00000e+00,6.38909e-01,1.92000e+01,0.00000e+00,0.00000e+00
-2.18462e-02,4.52151e-01,0.00000e+00,6.36003e-01,1.92000e+01,5.00000e-01,0.00000e+00
1.94473e-01,1.37949e-02,-1.62772e-18,5.10824e-01,1.97000e+01,5.00000e-01,0.00000e+00
-4.17654e-01,3.84794e-02,0.00000e+00,4.92987e-01,1.97000e+01,8.50000e-01,0.00000e+00
-4.20393e-01,-1.17515e-01,1.16943e-18,4.47415e-01,1.97000e+01,1.00000e+00,0.00000e+00
8.10370e-02,4.03609e-01,1.16943e-18,3.64676e-01,1.98000e+01,1.00000e+00,0.00000e+00
2.92786e-04,1.00087e+00,3.34202e-19,3.24821e-01,1.98000e+01,0.00000e+00,0.00000e+00
-1.83434e-04,9.98860e-01,1.09053e-18,3.30161e-01,2.03000e+01,0.00000e+00,0.00000e+00
-1.79520e-01,5.07917e-01,-5.66605e-19,2.34507e-01,2.03000e+01,5.00000e-01,0.00000e+00
-9.51331e-02,-1.40543e-01,0.00000e+00,2.19666e-01,2.08000e+01,5.00000e-01,0.00000e+00
2.82567e-01,-3.30842e-01,4.22642e-20,1.21715e-01,2.08000e+01,8.50000e-01,0.00000e+00
2.94714e-01,-3.60357e-01,4.22642e-20,4.91131e-03,2.08000e+01,1.00000e+00,0.00000e+00
5.30928e-02,3.64738e-01,0.00000e+00,8.03207e-02,2.09000e+01,1.00000e+00,0.00000e+00
4.82124e-06,9.99983e-01,-2.21564e-19,1.58915e-01,2.09000e+01,0.00000e+00,0.00000e+00
-5.32147e-07,1.00007e+00,-1.40048e-19,1.58678e-01,2.14000e+01,0.00000e+00,0.00000e+00
-6.42144e-03,4.40857e-01,1.28872e-18,1.52446e-01,2.14000e+01,5.00000e-01,0.00000e+00
9.26918e-02,4.81047e-03,0.00000e+00,1.20622e-01,2.19000e+01,5.00000e-01,0.00000e+00
-2.59425e-01,5.02660e-02,0.00000e+00,5.61277e-02,2.19000e+01,8.50000e-01,0.00000e+00
-2.89825e-01,5.81636e-02,0.00000e+00,-2.28483e-04,2.19000e+01,1.00000e+00,0.00000e+00
8.83993e-03,3.18006e-02,-1.02080e-18,4.40079e-03,2.20000e+01,1.00000e+00,0.00000e+00
1.05639e-02,-1.44713e-02,0.00000e+00,2.89846e-03,2.20000e+01,0.00000e+00,0.00000e+00
5.75965e-02,-1.25379e-02,-1.94593e-20,8.95252e-04,2.25000e+01,0.00000e+00,0.00000e+00
7.47597e-01,-5.41139e-04,0.00000e+00,9.26607e-03,2.25000e+01,2.00000e+00,0.00000e+00
5.49305e-01,4.99677e-01,-3.42195e-19,1.58272e-01,2.19000e+01,2.00000e+00,0.00000e+00
7.04750e-01,4.09985e-01,8.93831e-19,2.64091e-01,2.14000e+01,2.00000e+00,0.00000e+00
-2.43871e-01,5.57592e-01,-3.00765e-18,2.73465e-01,2.08000e+01,2.00000e+00,0.00000e+00
5.99258e-01,5.90108e-01,-9.44896e-19,3.31236e-01,2.03000e+01,2.00000e+00,0.00000e+00
-3.16165e-01,5.54060e-01,1.72486e-18,3.04225e-01,1.97000e+01,2.00000e+00,0.00000e+00
7.02643e-01,6.03909e-01,1.88343e-18,4.20706e-01,1.92000e+01,2.00000e+00,0.00000e+00
-6.77258e-01,6.24928e-01,0.00000e+00,4.40514e-01,1.86000e+01,2.00000e+00,0.00000e+00
4.75893e-01,6.27671e-01,0.00000e+00,3.97119e-01,1.81000e+01,2.00000e+00,0.00000e+00
-7.54499e-01,6.07779e-01,-3.32797e-18,4.45550e-01,1.75000e+01,2.00000e+00,0.00000e+00
1.25555e-01,6.11380e-01,0.00000e+00,3.22615e-01,1.70000e+01,2.00000e+00,0.00000e+00
-4.19095e-01,5.43925e-01,2.54142e-18,3.14819e-01,1.64000e+01,2.00000e+00,0.00000e+00
8.88376e-01,7.25700e-01,-5.60458e-19,6.76674e-01,1.59000e+01,2.00000e+00,0.00000e+00
-1.07010e+00,6.37053e-01,-8.26346e-19,6.66451e-01,1.53000e+01,2.00000e+00,0.00000e+00
-2.27724e-01,6.99701e-01,-8.20300e-18,3.84346e-01,1.48000e+01,2.00000e+00,0.00000e+00
-6.47182e-01,5.27291e-01,1.26266e-18,3.29561e-01,1.42000e+01,2.00000e+00,0.00000e+00
3.41296e-01,6.13184e-01,0.00000e+00,3.60713e-01,1.37000e+01,2.00000e+00,0.00000e+00
-4.21270e-01,5.93101e-01,-8.74506e-19,3.62098e-01,1.31000e+01,2.00000e+00,0.00000e+00
5.56872e-01,6.57406e-01,-2.89805e-18,4.03947e-01,1.26000e+01,2.00000e+00,0.00000e+00
-4.52288e-01,5.92440e-01,2.82624e-18,3.68534e-01,1.20000e+01,2.00000e+00,0.00000e+00
7.22343e-01,6.23466e-01,3.94462e-18,4.55888e-01,1.15000e+01,2.00000e+00,0.00000e+00
-6.64434e-01,6.69505e-01,0.00000e+00,4.99353e-01,1.09000e+01,2.00000e+00,0.00000e+00
5.91540e-01,6.64429e-01,3.07796e-18,4.75581e-01,1.04000e+01,2.00000e+00,0.00000e+00
-8.32135e-01,6.72566e-01,-3.78012e-19,5.43725e-01,9.80000e+00,2.00000e+00,0.00000e+00
1.86884e-01,6.71251e-01,-1.36832e-18,3.76189e-01,9.30000e+00,2.00000e+00,0.00000e+00
-5.16851e-01,5.45707e-01,0.00000e+00,3.43795e-01,8.70000e+00,2.00000e+00,0.00000e+00
