"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
8.42698e-02,4.13599e-01,-1.75301e-18,4.69930e-01,8.80000e+00,1.00000e+00,0.00000e+00
2.25822e-04,9.99647e-01,-6.20722e-19,3.72722e-01,8.80000e+00,0.00000e+00,0.00000e+00
6.03717e-05,1.00029e+00,0.00000e+00,3.68674e-01,9.30000e+00,0.00000e+00,0.00000e+00
-8.27515e-02,5.16200e-01,2.06564e-18,2.84535e-01,9.30000e+00,5.00000e-01,0.00000e+00
-7.33015e-02,-1.33466e-01,-7.18192e-19,2.74887e-01,9.80000e+00,5.00000e-01,0.00000e+00
4.27993e-01,-4.11225e-01,-1.37894e-19,1.61312e-01,9.80000e+00,8.50000e-01,0.00000e+00
4.22505e-01,-5.00224e-01,-3.30206e-18,2.51427e-01,9.80000e+00,1.00000e+00,0.00000e+00
6.02425e-02,3.95767e-01,-3.16417e-18,6.25308e-01,9.90000e+00,1.00000e+00,0.00000e+00
-2.17817e-04,1.00034e+00,0.00000e+00,8.50415e-01,9.90000e+00,0.00000e+00,0.00000e+00
2.97939e-04,9.99229e-01,9.05885e-19,8.54031e-01,1.04000e+01,0.00000e+00,0.00000e+00
2.53487e-02,3.66276e-01,0.00000e+00,8.36961e-01,1.04000e+01,5.00000e-01,0.00000e+00
1.66560e-01,4.34079e-02,-4.51770e-18,7.68643e-01,1.09000e+01,5.00000e-01,0.00000e+00
-4.28490e-01,1.12769e-01,0.00000e+00,7.46803e-01,1.09000e+01,8.50000e-01,0.00000e+00
-4.04164e-01,-4.84868e-02,3.14554e-18,6.56555e-01,1.09000e+01,1.00000e+00,0.00000e+00
9.38315e-02,4.86549e-01,3.14554e-18,6.10880e-01,1.10000e+01,1.00000e+00,0.00000e+00
-1.14751e-05,1.00031e+00,-1.55502e-18,7.30917e-01,1.10000e+01,0.00000e+00,0.00000e+00
-9.22372e-05,9.99381e-01,1.23624e-18,7.34070e-01,1.15000e+01,0.00000e+00,0.00000e+00
-2.52500e-02,4.56678e-01,3.22465e-18,7.30822e-01,1.15000e+01,5.00000e-01,0.00000e+00
1.86929e-01,8.58183e-03,1.96132e-18,6.12965e-01,1.20000e+01,5.00000e-01,0.00000e+00
-4.13824e-01,3.59970e-02,0.00000e+00,5.99721e-01,1.20000e+01,8.50000e-01,0.00000e+00
-4.37209e-01,-1.23875e-01,0.00000e+00,5.42209e-01,1.20000e+01,1.00000e+00,0.00000e+00
6.49835e-02,3.81447e-01,-4.87369e-19,4.45769e-01,1.21000e+01,1.00000e+00,0.00000e+00
5.30815e-05,1.00114e+00,-4.44588e-19,4.35481e-01,1.21000e+01,0.00000e+00,0.00000e+00
-2.32026e-04,9.98566e-01,1.49546e-18,4.41850e-01,1.26000e+01,0.00000e+00,0.00000e+00
-1.62304e-01,5.02746e-01,-1.07233e-18,3.72392e-01,1.26000e+01,5.00000e-01,0.00000e+00
-9.68194e-02,-1.40066e-01,0.00000e+00,3.68430e-01,1.31000e+01,5.00000e-01,0.00000e+00
2.72636e-01,-4.09872e-01,0.00000e+00,2.04128e-01,1.31000e+01,8.50000e-01,0.00000e+00
2.45230e-01,-4.52233e-01,9.60957e-19,7.98231e-02,1.31000e+01,1.00000e+00,0.00000e+00
1.11191e-02,3.88049e-01,9.60957e-19,2.55757e-01,1.32000e+01,1.00000e+00,0.00000e+00
9.34440e-06,1.00047e+00,-1.26768e-18,3.95235e-01,1.32000e+01,0.00000e+00,0.00000e+00
-5.08811e-05,9.99180e-01,6.76301e-19,3.98659e-01,1.37000e+01,0.00000e+00,0.00000e+00
-1.67491e-01,5.07701e-01,0.00000e+00,3.27883e-01,1.37000e+01,5.00000e-01,0.00000e+00
-9.23260e-02,-1.41874e-01,0.00000e+00,3.43861e-01,1.42000e+01,5.00000e-01,0.00000e+00
3.66318e-01,-3.73910e-01,-2.71751e-19,1.96962e-01,1.42000e+01,8.50000e-01,0.00000e+00
3.11676e-01,-4.47122e-01,-3.85116e-19,1.40791e-01,1.42000e+01,1.00000e+00,0.00000e+00
1.05101e-02,3.44653e-01,3.35068e-19,3.50102e-01,1.43000e+01,1.00000e+00,0.00000e+00
1.11525e-05,1.00059e+00,7.70486e-19,4.11020e-01,1.43000e+01,0.00000e+00,0.00000e+00
-1.07345e-04,9.99225e-01,-1.62516e-18,4.14257e-01,1.48000e+01,0.00000e+00,0.00000e+00
-1.25956e-01,4.83743e-01,-9.20436e-19,3.45395e-01,1.48000e+01,5.00000e-01,0.00000e+00
-9.48585e-02,-9.05828e-02,4.44104e-18,3.20047e-01,1.53000e+01,5.00000e-01,0.00000e+00
4.32672e-01,-3.92084e-01,6.44415e-19,1.86454e-01,1.53000e+01,8.50000e-01,0.00000e+00
4.24052e-01,-4.91565e-01,6.19351e-19,3.05771e-01,1.53000e+01,1.00000e+00,0.00000e+00
3.93657e-02,4.24658e-01,1.12371e-18,8.38684e-01,1.54000e+01,1.00000e+00,0.00000e+00
4.73502e-05,9.99751e-01,1.13679e-18,1.15812e+00,1.54000e+01,0.00000e+00,0.00000e+00
1.71584e-04,1.00015e+00,0.00000e+00,1.15592e+00,1.59000e+01,0.00000e+00,0.00000e+00
2.36090e-01,4.00058e-01,-8.75620e-17,1.13542e+00,1.59000e+01,5.00000e-01,0.00000e+00
2.35456e-01,1.01030e-01,0.00000e+00,1.14584e+00,1.64000e+01,5.00000e-01,0.00000e+00
-8.62165e-01,2.19953e-01,0.00000e+00,9.51633e-01,1.64000e+01,8.50000e-01,0.00000e+00
-9.18504e-01,-9.13207e-02,0.00000e+00,6.08612e-01,1.64000e+01,1.00000e+00,0.00000e+00
8.39687e-02,4.15079e-01,0.00000e+00,2.40934e-01,1.65000e+01,1.00000e+00,0.00000e+00
-1.09178e-04,1.00028e+00,-4.81956e-19,2.95856e-01,1.65000e+01,0.00000e+00,0.00000e+00
1.67253e-04,9.99580e-01,-9.31519e-19,2.97760e-01,1.70000e+01,0.00000e+00,0.00000e+00
-1.29880e-01,5.12205e-01,0.00000e+00,2.19582e-01,1.70000e+01,5.00000e-01,0.00000e+00
-9.16527e-02,-1.54422e-01,0.00000e+00,2.31635e-01,1.75000e+01,5.00000e-01,0.00000e+00
3.63752e-01,-4.38044e-01,9.60275e-20,1.35520e-01,1.75000e+01,8.50000e-01,0.00000e+00
3.68400e-01,-4.57535e-01,9.60275e-20,1.70502e-01,1.75000e+01,1.00000e+00,0.00000e+00
6.07849e-02,4.30533e-01,0.00000e+00,4.73327e-01,1.76000e+01,1.00000e+00,0.00000e+00
-2.35154e-04,1.00057e+00,0.00000e+00,6.89863e-01,1.76000e+01,0.00000e+00,0.00000e+00
2.45335e-04,9.99135e-01,1.46423e-18,6.94550e-01,1.81000e+01,0.00000e+00,0.00000e+00
-2.33077e-02,4.48776e-01,0.00000e+00,7.02760e-01,1.81000e+01,5.00000e-01,0.00000e+00
1.92576e-01,1.22312e-02,-3.76853e-18,5.83448e-01,1.86000e+01,5.00000e-01,0.00000e+00
-4.14427e-01,4.43392e-02,-2.06198e-19,5.77021e-01,1.86000e+01,8.50000e-01,0.00000e+00
-4.29873e-01,-1.09669e-01,0.00000e+00,5.43796e-01,1.86000e+01,1.00000e+00,0.00000e+00
6.96415e-02,4.17624e-01,0.00000e+00,5.34008e-01,1.87000e+01,1.00000e+00,0.00000e+00
-1.41800e-05,1.00031e+00,-1.33744e-18,6.17839e-01,1.87000e+01,0.00000e+00,0.00000e+00
-8.10639e-05,9.99412e-01,0.00000e+00,6.20833e-01,1.92000e+01,0.00000e+00,0.00000e+00
-2.54731e-02,4.57710e-01,0.00000e+00,6.15162e-01,1.92000e+01,5.00000e-01,0.00000e+00
1.88620e-01,7.54357e-03,-1.65337e-18,4.93149e-01,1.97000e+01,5.00000e-01,0.00000e+00
-4.13531e-01,2.73787e-02,0.00000e+00,4.81423e-01,1.97000e+01,8.50000e-01,0.00000e+00
-4.22886e-01,-1.35463e-01,1.19881e-18,4.31036e-01,1.97000e+01,1.00000e+00,0.00000e+00
7.88412e-02,3.89333e-01,1.19881e-18,3.40090e-01,1.98000e+01,1.00000e+00,0.00000e+00
2.10851e-04,1.00076e+00,3.49186e-19,3.16739e-01,1.98000e+01,0.00000e+00,0.00000e+00
-1.44600e-04,9.98944e-01,1.13622e-18,3.21694e-01,2.03000e+01,0.00000e+00,0.00000e+00
-1.99925e-01,5.17352e-01,-5.96996e-19,2.20663e-01,2.03000e+01,5.00000e-01,0.00000e+00
-1.04876e-01,-1.79868e-01,0.00000e+00,2.54502e-01,2.08000e+01,5.00000e-01,0.00000e+00
1.69337e-01,-4.33195e-01,3.08389e-20,9.03746e-02,2.08000e+01,8.50000e-01,0.00000e+00
1.83067e-01,-4.02557e-01,3.08389e-20,1.52748e-02,2.08000e+01,1.00000e+00,0.00000e+00
3.10070e-02,3.52583e-01,0.00000e+00,1.02885e-01,2.09000e+01,1.00000e+00,0.00000e+00
